smiles,node_id,num_expansions,rollout_num,score,Q_value,num_reactions,reaction_1_id,building_block_1_1_id,building_block_1_1_smiles,building_block_1_2_id,building_block_1_2_smiles
O=C(COC(=O)C12CC(CCC(F)(F)F)(C1)C2)N(Cc1ccccc1)C1CC1,114794,1,119,0.48904856145381925,0.48904856145381925,1,1458,27049149,O=C(O)C12CC(CCC(F)(F)F)(C1)C2,696472,O=C(CCl)N(Cc1ccccc1)C1CC1
CC(F)(F)C1(CN(Cc2cccc(C(F)(F)F)c2)Cc2cccc(C(F)(F)F)c2)CCC1,114867,1,167,0.488945397734642,0.488945397734642,1,2230,37368,FC(F)(F)c1cccc(CNCc2cccc(C(F)(F)F)c2)c1,26621686,CC(F)(F)C1(CBr)CCC1
CC(OC(=O)c1cc(C2CC2)[nH]c1C1CC1)C(=O)Nc1cccc(C(F)(F)F)c1,114873,0,171,0.48891377449035645,0.0,1,1458,24223646,O=C(O)c1cc(C2CC2)[nH]c1C1CC1,3938,CC(Cl)C(=O)Nc1cccc(C(F)(F)F)c1
CC(F)(F)C12CC(C34CC(C(=O)Nc5nc(C6CC6)c(Cc6cccc(C(F)(F)F)c6)s5)(C3)C4)(C1)C2,114656,2,19,0.488893061876297,0.488893061876297,1,22,2113491,Nc1nc(C2CC2)c(Cc2cccc(C(F)(F)F)c2)s1,27063897,CC(F)(F)C12CC(C34CC(C(=O)O)(C3)C4)(C1)C2
CC(C)c1cc(C(C)C)c(S(=O)(=O)N(Cc2cccc(C(F)(F)F)c2)Cc2cccc(C(F)(F)F)c2)c(C(C)C)c1,114681,1,33,0.4888611942529678,0.4888611942529678,1,40,37368,FC(F)(F)c1cccc(CNCc2cccc(C(F)(F)F)c2)c1,85386,CC(C)c1cc(C(C)C)c(S(=O)(=O)Cl)c(C(C)C)c1
CCC(C)c1ccc2nc(N(Cc3ccccc3)C(=O)CN(CCC(C)C)CCC(C)C)sc2c1,114837,1,138,0.4888459652662277,0.4888459652662277,1,2230,1053,CC(C)CCNCCC(C)C,31613,CCC(C)c1ccc2nc(N(Cc3ccccc3)C(=O)CCl)sc2c1
O=C(Oc1ccc(CCl)cc1C(F)(F)F)C12CC(CCC(F)(F)F)(C1)C2,114887,1,177,0.4887816846370697,0.4887816846370697,1,1458,27049149,O=C(O)C12CC(CCC(F)(F)F)(C1)C2,2795346,FC(F)(F)c1cc(CCl)ccc1Cl
CCCCCOc1ccc(S(=O)(=O)NC2C3(CC3)C23CC3)cc1C(C)C,114804,1,122,0.4887595534324646,0.4887595534324646,1,40,24532760,NC1C2(CC2)C12CC2,6979228,CCCCCOc1ccc(S(=O)(=O)Cl)cc1C(C)C
CC(C)c1onc(-c2c(Cl)cccc2Cl)c1C(=O)OC(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,114827,0,135,0.4886873334646225,0.0,1,1458,6755914,CC(C)c1onc(-c2c(Cl)cccc2Cl)c1C(=O)O,2809675,CC(Br)c1cc(C(F)(F)F)cc(C(F)(F)F)c1
O=C(COC(=O)C12CC(CCC(F)(F)F)(C1)C2)N(Cc1ccc(C(F)(F)F)cc1)C1CC1,114729,0,73,0.4884507656097412,0.0,1,1458,27049149,O=C(O)C12CC(CCC(F)(F)F)(C1)C2,1881622,O=C(CCl)N(Cc1ccc(C(F)(F)F)cc1)C1CC1
O=S(=O)(OC1CC1)C(F)(F)N(Cc1cccc(C(F)(F)F)c1)Cc1cccc(C(F)(F)F)c1,114749,1,85,0.48840855360031127,0.48840855360031127,1,2230,37368,FC(F)(F)c1cccc(CNCc2cccc(C(F)(F)F)c2)c1,13059204,O=S(=O)(OC1CC1)C(F)(F)F
CCn1c2ccccc2c2cc(NC(=O)C(C)OC(=O)C34CC(CCC(F)(F)F)(C3)C4)ccc21,114864,1,165,0.4883643865585327,0.4883643865585327,1,1458,27049149,O=C(O)C12CC(CCC(F)(F)F)(C1)C2,11453,CCn1c2ccccc2c2cc(NC(=O)C(C)Cl)ccc21
Cc1ccc(CN(C(=O)COC(=O)C23CC(CCC(F)(F)F)(C2)C3)C2CC2)cc1,114819,1,131,0.48814605474472045,0.48814605474472045,1,1458,27049149,O=C(O)C12CC(CCC(F)(F)F)(C1)C2,1881766,Cc1ccc(CN(C(=O)CCl)C2CC2)cc1
CC(OC(=O)C12CC(CCC(F)(F)F)(C1)C2)C(=O)Nc1c(Cl)cc(Cl)cc1Cl,114839,0,139,0.4880818039178848,0.0,1,1458,27049149,O=C(O)C12CC(CCC(F)(F)F)(C1)C2,9863,CC(Cl)C(=O)Nc1c(Cl)cc(Cl)cc1Cl
O=C(OC(F)(F)c1cc(CCl)ccc1Cl)C12CC(CCC(F)(F)F)(C1)C2,114885,0,177,0.48804238736629485,0.0,1,1458,27049149,O=C(O)C12CC(CCC(F)(F)F)(C1)C2,2795346,FC(F)(F)c1cc(CCl)ccc1Cl
CC(F)(N(Cc1cccc(C(F)(F)F)c1)Cc1cccc(C(F)(F)F)c1)C1(CBr)CCC1,114866,0,167,0.48761639297008513,0.0,1,2230,37368,FC(F)(F)c1cccc(CNCc2cccc(C(F)(F)F)c2)c1,26621686,CC(F)(F)C1(CBr)CCC1
CCCc1ccc(C23CC(C(=O)OC(F)(F)c4cc(CBr)cc(C(F)(F)F)c4)(C2)C3)cc1,114908,1,191,0.48761075735092163,0.48761075735092163,1,1458,26630760,CCCc1ccc(C23CC(C(=O)O)(C2)C3)cc1,53282,FC(F)(F)c1cc(CBr)cc(C(F)(F)F)c1
O=C(OCc1ccc(Cl)c(C(F)(F)F)c1)C12CC(CCC(F)(F)F)(C1)C2,114886,0,177,0.48746849298477174,0.0,1,1458,27049149,O=C(O)C12CC(CCC(F)(F)F)(C1)C2,2795346,FC(F)(F)c1cc(CCl)ccc1Cl
O=C(CN(CCC1CC1)CC1CC1)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1,114746,0,83,0.48739267885684967,0.0,1,2230,23691524,C(CC1CC1)NCC1CC1,3672,O=C(CCl)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1
FC(F)(F)c1cccc(CN(Cc2cccc(C(F)(F)F)c2)C23CC(C(F)(F)C(F)(F)F)(C2)C3)c1,114802,1,121,0.4871677398681641,0.4871677398681641,1,2230,37368,FC(F)(F)c1cccc(CNCc2cccc(C(F)(F)F)c2)c1,26589865,FC(F)(F)C(F)(F)C12CC(I)(C1)C2
CCCc1ccc(C23CC(C(=O)OCc4cc(C(F)(F)F)cc(C(F)(F)F)c4)(C2)C3)cc1,114909,0,191,0.48675761222839353,0.0,1,1458,26630760,CCCc1ccc(C23CC(C(=O)O)(C2)C3)cc1,53282,FC(F)(F)c1cc(CBr)cc(C(F)(F)F)c1
FC(F)(F)c1cccc(CN(Cc2cccc(C(F)(F)F)c2)C23CC(C(F)(F)F)(C2)C3)c1,114787,1,113,0.4863552272319794,0.4863552272319794,1,2230,37368,FC(F)(F)c1cccc(CNCc2cccc(C(F)(F)F)c2)c1,16731214,FC(F)(F)C12CC(I)(C1)C2
CC(OC(=O)C12CC(CCC(F)(F)F)(C1)C2)C(=O)Nc1ccc(Cl)cc1C(F)(F)F,114762,0,90,0.48577553033828735,0.0,1,1458,27049149,O=C(O)C12CC(CCC(F)(F)F)(C1)C2,38383,CC(Cl)C(=O)Nc1ccc(Cl)cc1C(F)(F)F
FC(F)(F)c1cccc(CN(Cc2cccc(C(F)(F)F)c2)C(F)(C(F)(F)F)C23CC(I)(C2)C3)c1,114801,0,121,0.48547794222831725,0.0,1,2230,37368,FC(F)(F)c1cccc(CNCc2cccc(C(F)(F)F)c2)c1,26589865,FC(F)(F)C(F)(F)C12CC(I)(C1)C2
FC(F)(F)c1cccc(CN(Cc2cccc(C(F)(F)F)c2)C(F)(F)C(F)(F)C23CC(I)(C2)C3)c1,114800,0,121,0.4849907994270325,0.0,1,2230,37368,FC(F)(F)c1cccc(CNCc2cccc(C(F)(F)F)c2)c1,26589865,FC(F)(F)C(F)(F)C12CC(I)(C1)C2
FC(F)(F)c1cccc(CN(Cc2cccc(C(F)(F)F)c2)C(F)(F)C23CC(I)(C2)C3)c1,114786,0,113,0.48455599546432493,0.0,1,2230,37368,FC(F)(F)c1cccc(CNCc2cccc(C(F)(F)F)c2)c1,16731214,FC(F)(F)C12CC(I)(C1)C2
